2026-03-21 10:37:29 INFO [train] Loading processed data...
2026-03-21 10:37:29 INFO [train] Processing slice file: dataset/data/mpd.slice.0-999.json
2026-03-21 10:37:29 ERROR [train] Full ETL pipeline failed after 0.08 seconds
2026-03-21 10:38:26 INFO [train] Loading processed data...
2026-03-21 10:38:26 INFO [train] Processing slice file: dataset/data/mpd.slice.0-999.json
2026-03-21 10:38:27 ERROR [train] Full ETL pipeline failed after 0.08 seconds
2026-03-21 10:39:20 INFO [train] Loading processed data...
2026-03-21 10:39:20 INFO [train] Processing slice file: dataset/data/mpd.slice.0-999.json
2026-03-21 10:39:21 INFO [train] ETL pipeline finished for all slices
2026-03-21 10:39:21 INFO [train] Full ETL pipeline completed successfully in 0.30 seconds
2026-03-21 10:40:48 INFO [train] Loading processed data...
2026-03-21 10:40:48 INFO [train] Processing slice file: dataset/data/mpd.slice.549000-549999.json
2026-03-21 10:40:48 INFO [train] Processing slice file: dataset/data/mpd.slice.613000-613999.json
2026-03-21 10:40:48 INFO [train] Processing slice file: dataset/data/mpd.slice.115000-115999.json
2026-03-21 10:40:49 INFO [train] Processing slice file: dataset/data/mpd.slice.778000-778999.json
2026-03-21 10:40:49 INFO [train] Processing slice file: dataset/data/mpd.slice.290000-290999.json
2026-03-21 10:40:49 INFO [train] Processing slice file: dataset/data/mpd.slice.596000-596999.json
2026-03-21 10:40:49 INFO [train] Processing slice file: dataset/data/mpd.slice.324000-324999.json
2026-03-21 10:40:50 INFO [train] Processing slice file: dataset/data/mpd.slice.422000-422999.json
2026-03-21 10:40:50 INFO [train] Processing slice file: dataset/data/mpd.slice.974000-974999.json
2026-03-21 10:40:50 INFO [train] Processing slice file: dataset/data/mpd.slice.679000-679999.json
2026-03-21 10:40:50 INFO [train] Processing slice file: dataset/data/mpd.slice.7000-7999.json
2026-03-21 10:40:51 INFO [train] Processing slice file: dataset/data/mpd.slice.391000-391999.json
2026-03-21 10:40:51 INFO [train] Processing slice file: dataset/data/mpd.slice.497000-497999.json
2026-03-21 10:40:51 INFO [train] Processing slice file: dataset/data/mpd.slice.225000-225999.json
2026-03-21 10:40:51 INFO [train] Processing slice file: dataset/data/mpd.slice.523000-523999.json
2026-03-21 10:40:52 INFO [train] Processing slice file: dataset/data/mpd.slice.875000-875999.json
2026-03-21 10:40:52 INFO [train] Processing slice file: dataset/data/mpd.slice.448000-448999.json
2026-03-21 10:40:52 INFO [train] Processing slice file: dataset/data/mpd.slice.712000-712999.json
2026-03-21 10:40:53 INFO [train] Processing slice file: dataset/data/mpd.slice.193000-193999.json
2026-03-21 10:40:53 INFO [train] Processing slice file: dataset/data/mpd.slice.38000-38999.json
2026-03-21 10:40:53 INFO [train] Processing slice file: dataset/data/mpd.slice.695000-695999.json
2026-03-21 10:40:53 INFO [train] Processing slice file: dataset/data/mpd.slice.899000-899999.json
2026-03-21 10:40:54 INFO [train] Processing slice file: dataset/data/mpd.slice.721000-721999.json
2026-03-21 10:40:54 INFO [train] Processing slice file: dataset/data/mpd.slice.510000-510999.json
2026-03-21 10:40:54 INFO [train] Processing slice file: dataset/data/mpd.slice.846000-846999.json
2026-03-21 10:40:54 INFO [train] Processing slice file: dataset/data/mpd.slice.216000-216999.json
2026-03-21 10:40:55 INFO [train] Processing slice file: dataset/data/mpd.slice.411000-411999.json
2026-03-21 10:40:55 INFO [train] Processing slice file: dataset/data/mpd.slice.947000-947999.json
2026-03-21 10:40:55 INFO [train] Processing slice file: dataset/data/mpd.slice.317000-317999.json
2026-03-21 10:40:55 INFO [train] Processing slice file: dataset/data/mpd.slice.22000-22999.json
2026-03-21 10:40:56 INFO [train] Processing slice file: dataset/data/mpd.slice.794000-794999.json
2026-03-21 10:40:56 INFO [train] Processing slice file: dataset/data/mpd.slice.126000-126999.json
2026-03-21 10:40:56 INFO [train] Processing slice file: dataset/data/mpd.slice.998000-998999.json
2026-03-21 10:40:57 INFO [train] Processing slice file: dataset/data/mpd.slice.620000-620999.json
2026-03-21 10:40:57 INFO [train] Processing slice file: dataset/data/mpd.slice.3000-3999.json
2026-03-21 10:40:57 INFO [train] Processing slice file: dataset/data/mpd.slice.70000-70999.json
2026-03-21 10:40:57 INFO [train] Processing slice file: dataset/data/mpd.slice.597000-597999.json
2026-03-21 10:40:58 INFO [train] Processing slice file: dataset/data/mpd.slice.291000-291999.json
2026-03-21 10:40:58 INFO [train] Processing slice file: dataset/data/mpd.slice.779000-779999.json
2026-03-21 10:40:58 INFO [train] Processing slice file: dataset/data/mpd.slice.423000-423999.json
2026-03-21 10:40:58 INFO [train] Processing slice file: dataset/data/mpd.slice.975000-975999.json
2026-03-21 10:40:59 INFO [train] Processing slice file: dataset/data/mpd.slice.325000-325999.json
2026-03-21 10:40:59 INFO [train] Processing slice file: dataset/data/mpd.slice.548000-548999.json
2026-03-21 10:40:59 INFO [train] Processing slice file: dataset/data/mpd.slice.114000-114999.json
2026-03-21 10:40:59 INFO [train] Processing slice file: dataset/data/mpd.slice.612000-612999.json
2026-03-21 10:41:00 INFO [train] Processing slice file: dataset/data/mpd.slice.449000-449999.json
2026-03-21 10:41:00 INFO [train] Processing slice file: dataset/data/mpd.slice.713000-713999.json
2026-03-21 10:41:00 INFO [train] Processing slice file: dataset/data/mpd.slice.496000-496999.json
2026-03-21 10:41:01 INFO [train] Processing slice file: dataset/data/mpd.slice.390000-390999.json
2026-03-21 10:41:01 INFO [train] Processing slice file: dataset/data/mpd.slice.678000-678999.json
2026-03-21 10:41:01 INFO [train] Processing slice file: dataset/data/mpd.slice.522000-522999.json
2026-03-21 10:41:01 INFO [train] Processing slice file: dataset/data/mpd.slice.874000-874999.json
2026-03-21 10:41:02 INFO [train] Processing slice file: dataset/data/mpd.slice.224000-224999.json
2026-03-21 10:41:02 INFO [train] Processing slice file: dataset/data/mpd.slice.81000-81999.json
2026-03-21 10:41:02 INFO [train] Processing slice file: dataset/data/mpd.slice.217000-217999.json
2026-03-21 10:41:02 INFO [train] Processing slice file: dataset/data/mpd.slice.511000-511999.json
2026-03-21 10:41:03 INFO [train] Processing slice file: dataset/data/mpd.slice.847000-847999.json
2026-03-21 10:41:03 INFO [train] Processing slice file: dataset/data/mpd.slice.694000-694999.json
2026-03-21 10:41:03 INFO [train] Processing slice file: dataset/data/mpd.slice.192000-192999.json
2026-03-21 10:41:03 INFO [train] Processing slice file: dataset/data/mpd.slice.720000-720999.json
2026-03-21 10:41:04 INFO [train] Processing slice file: dataset/data/mpd.slice.898000-898999.json
2026-03-21 10:41:04 INFO [train] Processing slice file: dataset/data/mpd.slice.54000-54999.json
2026-03-21 10:41:04 INFO [train] Processing slice file: dataset/data/mpd.slice.795000-795999.json
2026-03-21 10:41:05 INFO [train] Processing slice file: dataset/data/mpd.slice.621000-621999.json
2026-03-21 10:41:05 INFO [train] Processing slice file: dataset/data/mpd.slice.999000-999999.json
2026-03-21 10:41:05 INFO [train] Processing slice file: dataset/data/mpd.slice.127000-127999.json
2026-03-21 10:41:05 INFO [train] Processing slice file: dataset/data/mpd.slice.316000-316999.json
2026-03-21 10:41:06 INFO [train] Processing slice file: dataset/data/mpd.slice.410000-410999.json
2026-03-21 10:41:06 INFO [train] Processing slice file: dataset/data/mpd.slice.946000-946999.json
2026-03-21 10:41:06 INFO [train] Processing slice file: dataset/data/mpd.slice.227000-227999.json
2026-03-21 10:41:06 INFO [train] Processing slice file: dataset/data/mpd.slice.84000-84999.json
2026-03-21 10:41:07 INFO [train] Processing slice file: dataset/data/mpd.slice.877000-877999.json
2026-03-21 10:41:07 INFO [train] Processing slice file: dataset/data/mpd.slice.521000-521999.json
2026-03-21 10:41:07 INFO [train] Processing slice file: dataset/data/mpd.slice.393000-393999.json
2026-03-21 10:41:07 INFO [train] Processing slice file: dataset/data/mpd.slice.495000-495999.json
2026-03-21 10:41:08 INFO [train] Processing slice file: dataset/data/mpd.slice.710000-710999.json
2026-03-21 10:41:08 INFO [train] Processing slice file: dataset/data/mpd.slice.611000-611999.json
2026-03-21 10:41:08 INFO [train] Processing slice file: dataset/data/mpd.slice.117000-117999.json
2026-03-21 10:41:09 INFO [train] Processing slice file: dataset/data/mpd.slice.51000-51999.json
2026-03-21 10:41:09 INFO [train] Processing slice file: dataset/data/mpd.slice.326000-326999.json
2026-03-21 10:41:09 INFO [train] Processing slice file: dataset/data/mpd.slice.976000-976999.json
2026-03-21 10:41:09 INFO [train] Processing slice file: dataset/data/mpd.slice.420000-420999.json
2026-03-21 10:41:10 INFO [train] Processing slice file: dataset/data/mpd.slice.292000-292999.json
2026-03-21 10:41:10 INFO [train] Processing slice file: dataset/data/mpd.slice.594000-594999.json
2026-03-21 10:41:10 INFO [train] Processing slice file: dataset/data/mpd.slice.945000-945999.json
2026-03-21 10:41:10 INFO [train] Processing slice file: dataset/data/mpd.slice.413000-413999.json
2026-03-21 10:41:11 INFO [train] Processing slice file: dataset/data/mpd.slice.75000-75999.json
2026-03-21 10:41:11 INFO [train] Processing slice file: dataset/data/mpd.slice.315000-315999.json
2026-03-21 10:41:11 INFO [train] Processing slice file: dataset/data/mpd.slice.749000-749999.json
2026-03-21 10:41:11 INFO [train] Processing slice file: dataset/data/mpd.slice.124000-124999.json
2026-03-21 10:41:12 INFO [train] Processing slice file: dataset/data/mpd.slice.622000-622999.json
2026-03-21 10:41:12 INFO [train] Processing slice file: dataset/data/mpd.slice.578000-578999.json
2026-03-21 10:41:12 INFO [train] Processing slice file: dataset/data/mpd.slice.796000-796999.json
2026-03-21 10:41:13 INFO [train] Processing slice file: dataset/data/mpd.slice.723000-723999.json
